OrderId,OrderItemId,QuantityOrdered,ItemPrice,PromotionDiscount,batch_id,
171-0066814-8756311,5.24779E+13,1,699,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",278,
171-0067594-8053912,4.15775E+13,1,1440,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",80,
171-0067778-0050747,5.2953E+13,1,689,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",166,
171-0070253-7713961,4.84785E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",481,
171-0071045-9666733,2.52075E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",1205,
171-0071180-4127574,4.20637E+13,1,549,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",1274,
171-0071516-3542755,3.05868E+12,1,599,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",590,
171-0073599-1457904,2.94221E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",926,
171-0074404-2492325,3.63836E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",1685,
171-0075785-1220351,2.64065E+13,2,5998,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",116,
171-0076247-7910773,3.17497E+13,1,599,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",472,
171-0076310-3709148,7.35279E+12,1,699,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",46,
171-0077622-4872332,4.16799E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",538,
171-0079114-6837972,1.97645E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",1387,
171-0079310-6543536,6.35058E+12,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",387,
171-0079772-2640355,2.80292E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",598,
171-0079846-8216315,5.96496E+13,1,1349,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",87,
171-0081333-9715512,9.77655E+12,1,599,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",406,
171-0082325-8571521,2.31661E+13,1,399,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",300,
171-0082628-5593950,4.78923E+13,1,749,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",367,
171-0082964-5874717,2.13839E+13,1,329,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",354,
171-0083001-2786714,1.16911E+13,1,359,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",422,
171-0084346-6068358,1.34308E+13,1,1149,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",860,
171-0084639-5623535,1.42228E+13,1,1999,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",91,
171-0085096-2187514,1.56392E+13,1,549,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",316,
171-0085776-5778704,5.33728E+12,1,649,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",254,
171-0085776-5778704,4.3645E+13,1,599,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",255,
171-0085776-5778704,5.33728E+12,1,649,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",290,
171-0085776-5778704,4.3645E+13,1,599,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",291,
171-0087005-4381906,6.78951E+13,1,1999,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",286,
171-0087909-4106719,2.77978E+13,1,1399,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",46,
171-0087954-0942721,6.94392E+13,1,1199,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",411,
171-0089284-7500326,2.51956E+13,1,999,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",920,
171-0089322-0967520,5.20496E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",706,
171-0089720-0474713,6.91804E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",626,
171-0091232-2277116,3.58913E+13,1,249,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",44,
171-0091716-0124358,3.92411E+13,1,1699,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",1111,
171-0092335-4471533,2.35342E+13,1,469,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",1303,
171-0093333-5358749,2.32717E+13,1,649,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",4,
171-0093691-9203503,1.32969E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",378,
171-0094009-9596319,6.89182E+13,1,699,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",996,
171-0094455-8989152,5.55764E+13,1,529,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",67,
171-0094897-8997912,4.14926E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",453,
171-0095152-6336328,3.2677E+13,1,949,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",279,
171-0095588-4932371,5.95345E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",393,
171-0095673-4729952,4.20877E+13,1,2599,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",295,
171-0095817-3194714,9.39008E+12,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",788,
171-0096257-0105156,2.74144E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",280,
171-0096852-6169932,1.63445E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",1638,
171-0097302-0141163,2.76825E+13,1,399,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",57,
171-0098110-4062743,2.71323E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",962,
171-0098667-5393157,2.63598E+13,1,399,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",1552,
171-0099741-7428326,3.35619E+13,1,1499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",626,
171-0099997-9574764,1.57617E+13,1,399,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",91,
171-0099998-1815545,1.76527E+13,1,599,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",492,
171-0100044-2065101,5.04542E+13,1,239,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",94,
171-0100044-2065101,5.04542E+13,1,239,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",110,
171-0100044-2065101,5.04542E+13,1,239,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",454,
171-0100090-0625126,1.9346E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",81,
171-0100510-9069918,4.53424E+13,1,399,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",880,
171-0101430-4839576,2.10442E+13,1,699,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",730,
171-0103046-3168324,1.3429E+13,1,629,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",238,
171-0103062-4507572,5.91913E+13,1,299,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",1320,
171-0103740-6954760,8.91782E+12,1,649,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",110,
171-0103950-3468329,1.52053E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",128,
171-0104341-6198772,2.83577E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",71,
171-0105422-5288336,6.16376E+13,1,549,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",240,
171-0105624-5199509,3.45088E+13,1,1699,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",675,
171-0105702-2132323,3.45726E+13,1,849,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",555,
171-0105881-7613156,1.55305E+13,1,649,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",444,
171-0106485-8006721,1.06039E+13,1,849,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",132,
171-0106517-5994718,1.13677E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",142,
171-0106998-9312365,1.16643E+13,1,389,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",257,
171-0107581-2066704,1.88472E+13,1,279,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",781,
171-0108422-4375570,7.03036E+13,1,549,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",191,
171-0108515-5964354,5.63361E+13,1,289,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",462,
171-0109070-3901902,3.4139E+13,2,3198,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",721,
171-0109862-2525140,2.71788E+12,1,1499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",505,
171-0110261-0965158,6.44651E+13,1,599,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",51,
171-0110274-8765945,9.05817E+11,1,449,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",39,
171-0110274-8765945,9.05817E+11,1,449,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",205,
171-0110470-0373973,6.18596E+13,1,1749,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",257,
171-0110773-9929140,5.55421E+13,1,549,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",227,
171-0111238-6630714,3.41035E+13,1,599,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",434,
171-0111900-3181109,3.60431E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",434,
171-0111916-3053153,5.63244E+13,1,599,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",18,
171-0111916-3053153,5.63244E+13,1,599,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",310,
171-0112296-0066719,4.16631E+13,1,499,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",227,
171-0112487-5278755,2.50802E+13,1,269,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",256,
171-0112796-1247517,5.99642E+13,1,399,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",1411,
171-0113020-3500341,5.37667E+13,1,399,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",512,
171-0116189-0470758,5.80777E+12,1,399,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",320,
171-0116987-3727544,9.73131E+12,1,2570,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",68,
171-0117280-8302738,5.95002E+13,1,749,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",296,
171-0117693-1661907,1.85436E+12,1,349,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10.1""}",662,
171-0120255-9397962,6.16058E+13,1,999,"{ ""CurrencyCode"": ""INR"", ""Amount"": ""10""}",127,
